Total Household Income,Total Food Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,Fashion Spendings,Housing Expenditure,Medical Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Farming and Gardening expenses,Miscellaneous and Special Occasions Expenditure,Sex,Age,Marital Status,Total Number of Family members,Savings
86869,58062.0,2630,2392,13394,1470,11394,909,1854,168,1150,0,10450,1,31,1,5,-17004.0
299762,49481.5,11780,420,0,4480,11802,100,4668,3120,0,0,11120,1,46,1,4,202790.5
76684,64234.0,5260,0,0,490,7230,135,4140,480,2690,0,2624,1,58,1,4,-10599.0
397471,109997.0,8520,420,3620,7650,12582,735,15918,1176,4710,29409,27352,0,57,2,4,175382.0
292134,91405.5,24395,4770,16652,5850,11892,100,3780,1686,8162,2288,21662,1,46,1,6,99491.5
203255,47686.0,25840,2900,1820,6272,8022,0,17202,1140,7400,0,30512,1,49,1,4,54461.0
121100,36436.0,568,0,4596,1298,6264,16147,8418,1050,10050,0,21550,0,56,2,2,14723.0
442774,97290.5,0,4200,19785,3430,13002,250,2538,1140,0,143681,7070,1,81,2,5,150387.5
275486,79485.5,4640,0,3982,4342,11016,140,960,288,2510,85418,18806,1,30,1,4,63898.5
191480,50532.0,120,810,13394,2040,11136,1760,9276,1800,0,0,10042,0,56,1,2,90570.0
98822,86983.5,1725,5500,4140,610,18300,300,636,0,985,24580,2412,1,66,1,8,-47349.5
152413,87662.5,17400,1800,2380,865,21060,9080,3996,804,18725,18160,3504,1,50,1,5,-33023.5
227486,116293.5,2950,0,5720,315,21060,50,4176,120,5385,77194,3612,1,43,1,14,-9389.5
103383,44159.5,1175,1300,1080,300,16380,135,2802,834,3190,14080,2676,1,42,1,5,15271.5
219978,117499.5,10550,2425,2000,270,14820,80,6450,0,14100,73390,6612,1,50,1,12,-28218.5
70962,71518.0,29900,1600,960,530,14820,515,600,0,690,17456,2070,1,28,1,5,-69697.0
269960,107622.0,6475,650,16810,1090,23808,1210,4782,1482,6595,13710,6588,1,56,1,9,79138.0
44498,49835.5,0,1050,1623,0,13050,90,1638,0,0,0,1656,1,47,1,2,-24444.5
200468,43084.0,1150,0,90,200,12360,40,1800,0,690,70699,1500,1,71,1,3,68855.0
317168,151528.0,9520,0,0,8110,26160,90,13494,2766,7370,0,14028,1,75,1,6,84102.0
78195,33979.5,2900,0,120,270,13140,440,2640,444,1775,0,1884,1,72,2,4,20602.5
222410,112004.0,18000,0,90,0,18636,450,26496,1872,72050,49510,13910,1,43,1,5,-90608.0
319872,96463.5,14050,0,0,5885,15108,22453,1200,1368,21805,0,5508,1,39,1,6,136031.5
201840,78658.0,8040,2970,5350,390,14898,78695,8064,2280,4273,0,9030,1,42,1,5,-10808.0
220555,78127.0,12715,0,1360,1785,15306,47,2400,654,27735,0,3546,1,39,1,5,76880.0
99325,61134.0,10775,780,1040,810,11838,1333,2520,2070,2175,0,6054,1,53,1,4,-1204.0
176475,37289.0,0,0,0,0,12402,210,2160,0,0,44835,1758,1,80,1,4,77821.0
79899,46744.5,2400,1180,1140,270,17820,590,480,612,2150,4390,2556,1,52,1,3,-433.5
313798,98873.0,4700,250,520,2110,8790,7315,14718,360,7960,42025,3684,1,48,1,8,122493.0
60388,43135.5,0,952,0,100,3378,100,2400,0,0,23480,1680,1,72,2,2,-14837.5
87843,57101.5,16050,200,0,1638,6462,130,2100,720,27100,22835,3522,1,48,1,6,-50015.5
67960,29659.5,12,0,0,0,5118,50,3840,318,1680,0,894,1,61,1,3,26388.5
51108,47362.0,3550,150,0,0,4698,780,2208,1080,2150,11920,2238,1,59,1,4,-25028.0
354610,72055.5,4192,9500,2850,12205,17550,7455,3642,4644,23460,36280,26790,1,76,1,5,133986.5
255802,103243.5,4616,0,8415,3270,7032,440,780,180,8040,91146,8762,1,57,1,5,19877.5
569390,120090.5,7399,1140,240,10264,16260,3610,18696,3402,6800,80780,41226,1,55,1,10,259482.5
74801,36009.0,1052,930,0,3403,3750,1844,1608,1728,727,0,7740,1,25,1,3,16010.0
206680,111133.0,21580,3540,6855,5615,4920,1022,6468,936,4650,36060,13248,1,43,1,7,-9347.0
170602,83076.5,0,0,4706,1916,7260,15453,624,492,0,48909,7894,0,60,2,7,271.5
270600,68351.5,6400,930,16290,6524,6312,32370,1854,2112,22000,58463,10284,1,55,1,5,38709.5
101599,42479.5,719,1045,0,2304,11640,189,3342,390,890,6720,2778,1,34,1,3,29102.5
209750,74715.0,4970,450,724,6506,8820,197950,18138,540,25648,0,237788,1,42,2,3,-366499.0
206770,102854.5,3340,50,0,4735,9708,913,15120,696,2320,34840,6714,1,40,1,7,25479.5
248330,123990.5,2050,960,0,4990,10620,20238,7212,3612,1200,6595,4056,1,34,0,9,62806.5
224530,70630.5,3880,0,0,6304,5736,696,1392,1632,1815,54473,13162,1,59,1,4,64809.5
163780,104714.0,22600,300,520,5790,13392,28984,18720,1872,4000,1590,20726,1,56,1,7,-59428.0
675771,90276.5,19130,0,0,14212,10560,12895,21054,3852,30500,0,36012,1,54,1,3,437279.5
337666,76254.5,1150,0,0,15958,10644,8627,4278,1980,3715,0,43350,1,72,1,3,171709.5
189788,25734.5,680,0,0,5130,3924,2125,678,0,0,0,6864,0,74,2,1,144652.5
151148,73453.0,6852,0,1448,3629,7500,1995,1506,744,960,0,10242,1,35,1,4,42819.0
633687,148240.0,32668,0,520,5917,9900,54282,27402,1758,37977,7920,44742,1,54,1,8,262361.0
184175,76917.5,0,825,0,3020,13098,652,3786,1404,0,0,5040,1,74,1,4,79432.5
202447,68317.5,3200,1860,0,5170,8100,469,1722,468,1610,0,3090,1,43,1,4,108440.5
540382,156279.0,11050,0,0,12191,23034,17533,27462,5544,44700,0,68694,1,54,1,10,173895.0
168285,136097.0,0,2892,13394,13621,17892,5113,8082,6000,2180,27086,24742,1,29,1,6,-88814.0
385219,125799.5,2715,0,0,3639,26790,17536,3180,300,910,0,17364,1,38,1,7,186985.5
122998,61940.5,8145,455,902,2707,12402,1749,6816,1350,4350,0,13448,0,67,2,7,8733.5
365033,145781.0,10020,2025,0,10946,33780,1956,7638,810,8150,6339,20280,1,40,1,8,117308.0
25184,8676.5,150,0,1570,880,2580,600,1356,0,0,625,390,1,69,1,1,8356.5
328941,91937.0,30430,2935,0,25160,59166,1420,5208,1500,0,0,15110,0,62,2,4,96075.0
106914,53928.0,0,650,390,2315,5610,336,714,420,0,20121,1146,1,62,1,3,21284.0
428311,141657.5,15835,995,6090,1565,20694,475,4806,1902,1790,47714,9178,1,65,1,8,175609.5
177699,44396.0,2441,0,0,380,7914,350,5718,0,1518,75085,2420,1,55,1,3,37477.0
105037,192330.5,3284,2678,10860,6533,7950,7804,4014,660,800,0,13394,1,31,1,5,-145270.5
542848,145438.5,35445,1560,0,10459,13998,21775,20964,11958,1660,0,55222,0,62,2,6,224368.5
100760,41968.5,2545,0,0,4193,4632,6015,4770,90,8675,0,2082,0,69,2,5,25789.5
144455,96077.0,9540,0,0,2585,17118,18596,600,780,3000,460,12162,1,73,1,4,-16463.0
808185,105745.0,21560,1200,420,10550,17862,1090,19056,1638,56250,19606,51024,1,52,1,5,502184.0
188681,55330.5,480,1180,15566,2309,7266,423,8190,1224,1100,0,8991,1,40,1,4,86621.5
326585,102318.5,0,1352,0,5575,10440,3026,3360,912,960,4665,9190,1,39,1,8,184786.5
118445,28544.5,312,916,3077,460,3108,23,120,0,0,11871,2454,1,66,2,1,67559.5
158208,53936.0,312,0,0,2039,4470,0,120,0,230,0,4868,1,26,1,5,92233.0
162423,75032.0,0,0,0,2170,6828,90,720,600,1210,15987,5783,1,35,1,6,54003.0
177205,69753.0,240,0,0,1050,7176,1682,252,636,730,0,8016,1,38,1,4,87670.0
123844,58649.5,534,912,7964,3840,11322,7784,4236,2082,0,5440,9042,1,43,1,4,12038.5
116412,47292.0,0,1352,468,2385,10698,0,3360,1494,40,0,6966,1,35,1,4,42357.0
343691,89871.5,0,2704,18100,5020,11646,39416,6474,0,100,27403,6464,0,81,2,5,136492.5
139499,65760.5,2952,0,3258,1020,5118,102,396,636,130,0,11720,1,46,1,5,48406.5
119349,52596.5,624,0,0,100,9510,1800,480,828,10,0,6954,1,53,1,4,46446.5
316525,107092.5,1560,2250,0,3625,11598,50,960,1242,920,0,12052,1,33,1,6,175175.5
300769,87419.0,8500,3274,10860,5840,16320,819,16512,3834,7700,31564,15074,1,60,1,4,93053.0
172422,64311.5,1700,0,0,449,12594,2060,7170,618,160,0,5588,1,49,1,7,77771.5
129819,27134.0,7930,0,0,730,8442,7897,2556,1380,0,0,1470,1,80,2,1,72280.0
257265,64368.0,0,3250,9050,2179,15192,2750,720,336,10,28880,2930,1,61,1,4,127600.0
111080,45907.5,0,285,0,745,10848,960,7716,990,0,0,10870,1,53,1,3,32758.5
157684,71980.5,3620,540,1810,1452,6336,154,492,1014,1030,0,6358,1,43,1,3,62897.5
311159,112724.5,0,5954,9986,5690,12978,132,23268,2916,70,29512,9540,1,60,1,8,98388.5
128473,40663.0,0,350,1040,2915,4716,60,480,300,340,49695,1888,0,46,3,2,26026.0
70278,31550.5,0,312,0,100,5190,1724,480,0,0,0,2552,1,78,1,2,28369.5
163852,50470.0,0,1352,7240,171,8862,130,1038,516,50,0,4828,1,36,1,6,89195.0
210499,92028.5,5644,0,9570,2039,7854,2738,5370,516,14374,0,14116,1,54,1,6,56249.5
144909,48544.5,2460,30,1810,3434,15864,835,600,1770,279,0,40044,0,48,1,6,29238.5
117752,64775.5,3900,0,0,2952,6672,5732,8856,1110,11175,0,9686,1,38,1,7,2893.5
128100,73636.5,1430,0,4660,5293,5640,380,11070,450,2120,0,16250,1,44,1,8,7170.5
494490,93552.5,10980,0,20815,860,30762,23705,14952,17988,550,0,85284,0,71,2,4,195041.5
166662,51977.5,1800,2210,0,900,4590,60,4476,216,7075,0,5742,1,43,3,4,87615.5
344548,93149.0,9680,5800,15580,11054,11748,274,15858,3828,2370,0,17388,1,43,1,8,157819.0
191349,97377.0,4065,2810,0,1095,4908,5360,11778,2472,9465,0,7498,1,41,1,9,44521.0
660785,110113.0,39220,210,6470,2212,14904,4441,51804,2598,9300,0,35948,1,54,1,9,383565.0
123021,56134.0,1220,0,0,1475,10260,205,6282,1110,1250,0,15118,1,40,1,6,29967.0
147467,50883.0,120,1080,0,1374,10878,213,5502,1068,1005,9510,6532,1,50,1,4,59302.0
207380,119879.0,2480,1000,710,3490,10050,330,3240,954,1030,0,41226,1,49,1,10,22991.0
116949,36546.0,3560,175,0,904,4962,1115,4008,1212,12560,0,11282,0,63,2,4,40625.0
177659,80573.5,720,240,0,2680,6396,1750,3942,834,3550,0,15016,1,48,1,10,61957.5
86747,49054.5,1560,0,0,470,5148,185,4800,420,145,0,8418,1,38,1,6,16546.5
94917,38904.5,1020,0,0,250,5130,130,6798,702,180,0,11956,1,45,1,5,29846.5
1099292,109854.5,8940,0,21720,3035,24060,14655,23790,7620,19130,0,85844,1,53,1,7,780643.5
101472,22962.0,1080,1200,3676,60,4518,320,360,390,0,0,6644,1,54,1,2,60262.0
978745,117607.0,16500,0,0,24165,43182,2566,15294,2100,19860,0,167792,1,49,1,9,569679.0
2310075,152349.5,8600,2280,0,45210,135936,7526,86646,10500,293150,0,239390,1,42,1,4,1328487.5
249376,63764.5,0,900,104,2730,122850,905,2430,2862,0,0,6972,1,28,0,1,45858.5
387557,58269.5,13000,0,0,11520,10320,9900,17232,1698,0,0,47256,0,69,2,2,218361.5
94991,54656.0,4680,0,1560,4400,11430,1512,7194,5400,4150,0,8950,0,62,2,1,-8941.0
241783,99113.5,8060,315,2916,1597,7230,1577,402,1266,680,0,16270,1,45,1,11,102356.5
90128,44069.0,3350,1140,0,1495,15600,2243,6162,258,18540,0,14206,1,60,1,5,-16935.0
20757,15174.0,180,0,0,825,2208,120,60,0,0,0,1622,0,58,0,1,568.0
144210,66873.0,3925,2620,7770,1615,6942,6106,3522,78,6830,0,16888,1,37,1,11,21041.0
191966,67014.5,5020,90,0,2543,6672,1090,2658,408,5800,0,14741,0,69,2,10,85929.5
35016,37747.0,0,0,0,905,4548,138,60,0,1065,0,2134,0,83,2,5,-11581.0
137681,49410.0,5736,280,0,1830,6324,3550,10680,300,1500,0,6088,1,31,1,5,51983.0
137349,70758.5,1530,0,1086,830,15630,612,1662,396,815,0,9696,1,36,1,6,34333.5
124363,78103.0,6550,1149,1810,1355,10524,74,1896,240,11280,0,20188,1,52,1,8,-8806.0
171874,75517.5,3400,808,0,855,18390,1587,4002,414,4800,0,23590,1,51,1,6,38510.5
203283,88494.0,2180,1488,9050,2030,8946,2693,8142,3960,955,23895,24598,1,68,1,15,26852.0
221035,64367.0,5850,3182,0,3264,12714,1055,4878,6600,0,0,20088,1,57,1,4,99037.0
245763,70610.0,19110,245,0,1840,10110,2640,13668,5802,0,0,36666,1,60,1,4,85072.0
174235,42996.5,1680,2410,1991,300,16818,2436,480,900,0,0,15376,1,57,1,3,88847.5
127415,38414.0,4560,0,0,2140,8736,2490,4896,300,110,0,8908,0,68,2,4,56861.0
294081,84174.0,3245,0,0,1314,12150,3680,8796,930,1760,0,6124,1,43,1,8,171908.0
467656,110425.0,520,135,0,1990,24210,401935,18228,15000,5100,0,72662,1,44,1,6,-182549.0
335460,62016.5,0,2238,4540,4090,6876,420,6876,1242,1160,0,13680,1,32,1,5,232321.5
519843,76785.5,29067,0,0,1260,13224,14256,7368,3120,53200,0,45508,1,50,1,6,276054.5
224598,64213.0,1440,300,0,4720,20988,165,12186,2340,2840,0,12732,0,44,1,3,102674.0
814179,124829.0,2080,1010,52,624,17898,3440,24336,4338,2245,0,118406,1,39,1,8,514921.0
239968,47072.5,360,2730,0,100,8748,0,2718,1092,6800,0,10830,1,51,1,3,159517.5
167190,46350.0,0,408,0,950,4764,0,1800,498,10005,14455,7468,1,45,1,6,80492.0
187342,55410.5,0,1456,0,1245,9630,5220,1686,1302,970,4650,9608,1,44,1,7,96164.5
199954,79742.5,0,948,4550,515,19668,0,1656,318,2470,1560,9398,1,40,1,9,79128.5
272430,76255.5,200,4438,0,4025,16122,1530,3996,738,765,0,28938,1,44,1,8,135422.5
412750,86120.0,720,570,0,9180,27396,2784,8652,3288,6700,0,39434,1,42,1,6,227906.0
186134,44839.5,780,0,0,0,15864,220,12000,780,8450,0,7752,0,59,2,3,95448.5
613953,81004.0,1560,450,0,3260,23160,4768,9420,2862,1100,0,64920,1,41,1,6,421449.0
203812,29984.5,480,0,0,685,8862,0,2400,780,6500,0,6102,0,50,2,1,148018.5
372207,38517.5,780,0,0,640,33336,4991,7200,1080,0,0,18514,0,73,2,1,267148.5
698248,110144.5,600,3160,0,1140,35292,6745,11484,7860,2440,0,78380,0,68,2,7,441002.5
449027,75986.5,3120,3020,0,1140,27630,7345,9042,6798,2750,0,226952,0,63,2,4,85243.5
210415,70116.5,0,300,0,2325,29502,4470,2400,558,2950,0,14444,1,77,1,7,83349.5
989730,160547.5,6100,2850,7240,37250,29340,69484,31302,2160,9000,0,63210,1,81,1,3,571246.5
693706,32781.0,4030,4720,0,4940,14772,21710,8442,5460,0,290703,19664,1,68,2,1,286484.0
644504,90908.0,1560,0,0,2000,47082,11473,20166,6948,6150,23180,72506,1,40,1,6,362531.0
99089,63998.0,20,300,260,350,4800,368,0,1026,120,35130,5686,0,74,2,5,-12969.0
76716,57097.5,0,348,260,680,6420,0,2208,204,850,21590,3190,1,42,2,5,-16131.5
161475,72808.0,90,1620,2975,160,7620,412,600,0,1470,25440,43432,1,52,1,3,4848.0
161226,65049.0,0,450,260,1760,12030,135,3018,1608,21096,34538,21040,1,56,1,4,242.0
348011,83629.5,0,600,5430,1454,9990,470,1080,756,830,0,35896,1,53,1,5,207875.5
222414,93507.0,0,1140,260,1280,7140,586,7620,642,820,22230,14948,1,47,1,12,72241.0
35631,15643.5,0,300,20,70,3636,0,0,0,0,3145,1487,0,61,2,1,11329.5
353420,86882.5,33400,1200,9593,1126,19764,2300,4740,912,36610,26578,20754,1,41,1,8,109560.5
277469,53201.0,2600,200,7240,2640,16362,12310,300,828,325,22590,10274,1,65,1,4,148599.0
85141,35747.5,0,3310,1629,1100,4974,50,240,588,1305,10091,3524,1,18,0,3,22582.5
294585,70531.0,14000,900,905,1758,13542,360,3660,180,5100,24098,16822,1,49,1,9,142729.0
238709,65338.0,120,230,0,1120,9318,1070,900,258,850,12970,9062,1,34,1,5,137473.0
147601,77863.5,300,1600,0,1198,13068,309,2442,180,1800,42436,9250,1,42,1,6,-2845.5
309434,87935.0,18700,1404,0,1053,13182,1130,3204,2856,24010,36516,17212,1,48,1,3,102232.0
53316,28742.5,120,0,130,570,6660,144,438,0,0,6320,2322,1,71,1,2,7869.5
701976,105233.0,10530,430,0,4350,19248,1000,19764,12840,74550,0,80284,1,50,1,6,373747.0
383532,56701.0,2550,240,0,5580,21636,33,3990,1122,0,2800,13090,0,37,1,2,275790.0
118156,50956.0,0,728,260,485,6258,0,0,600,350,0,6078,1,38,1,3,52441.0
183930,104137.5,2340,0,0,470,7464,0,4800,2292,10030,0,16456,1,50,1,8,35940.5
706988,137948.0,2640,960,0,5140,37572,3450,11202,6720,6500,0,61686,1,75,1,9,433170.0
356677,55094.0,0,1830,0,4120,28848,0,9540,840,0,0,31016,0,55,0,2,225389.0
185171,57632.0,0,600,2263,800,8058,600,600,540,615,8090,5060,1,65,1,7,100313.0
731712,95013.5,18000,1200,0,14449,19506,2150,15660,7200,2231,0,132392,1,54,1,7,423910.5
276082,49348.5,14390,0,0,1600,11520,7172,2760,852,10950,0,19848,0,77,2,2,157641.5
252200,65799.5,4680,1260,780,0,19530,1110,7164,1128,0,0,8124,1,65,1,3,142624.5
622644,93093.5,360,1170,0,5230,20478,8850,3618,2160,700,0,76514,1,47,1,5,410470.5
624918,74228.5,7680,3300,0,6490,16482,7255,20760,18780,0,6000,36260,1,46,1,2,427682.5
3294322,65165.0,2860,6754,0,6130,23748,4140,6000,6120,114500,0,72314,1,67,1,4,2986591.0
165999,21250.0,0,0,0,120,9288,374,13752,762,0,0,15094,0,73,2,1,105359.0
191959,65485.5,0,2010,1216,410,9918,5045,2316,90,1990,0,11428,1,48,1,4,92050.5
100686,49994.5,0,1050,6465,365,7038,0,600,0,0,17730,6640,1,74,1,4,10803.5
158206,64694.5,0,405,0,330,9192,200,1830,240,0,0,5216,1,55,1,6,76098.5
100202,59662.0,100,130,0,500,5622,207,2202,156,2080,0,5220,1,43,1,7,24323.0
50758,59346.5,30,432,133,100,4236,132,798,144,0,0,3210,1,46,1,4,-17803.5
86004,118335.5,135,120,1145,720,6852,4398,900,540,800,0,4680,1,53,1,14,-52621.5
44188,40864.0,300,596,156,550,5622,180,1002,0,0,0,1104,1,58,1,3,-6186.0
58780,53182.0,110,0,247,500,6300,565,990,492,610,0,7098,1,47,1,3,-11314.0
143192,65133.5,25,390,5822,240,5010,108,1200,0,0,44282,9860,0,74,2,4,11121.5
70827,41393.5,5580,300,0,250,4248,141,3300,1104,8480,0,6622,1,47,1,4,-591.5
47005,37271.0,120,0,90,105,2574,89,900,156,220,0,3348,1,36,1,5,2132.0
195961,62418.0,15,720,0,890,4710,95,1998,876,3730,89096,13138,1,53,1,5,18275.0
142294,53529.5,23055,260,127,240,6846,405,2208,324,15550,51546,5550,1,60,1,4,-17346.5
81345,29108.5,660,420,182,655,6528,732,654,390,0,0,10126,1,32,1,4,31889.5
96112,31552.0,6900,0,0,300,4788,533,1200,1140,235,0,5124,1,52,1,4,44340.0
371115,76982.5,22760,832,312,1690,7212,130,4800,2460,6266,0,40698,1,59,1,5,206972.5
80944,54581.0,400,0,0,100,5808,899,900,192,20,0,2994,1,35,1,4,15050.0
67391,36650.0,1200,810,0,615,4500,74,600,216,0,0,9602,1,51,1,3,13124.0
99155,63087.0,7200,1380,0,1680,4800,9740,780,834,360,3642,7986,1,28,1,4,-2334.0
52948,41247.0,360,360,955,380,4434,133,600,0,800,6866,2154,0,80,2,4,-5341.0
58305,59155.0,215,810,0,1720,5028,480,480,444,300,7720,3788,1,30,1,7,-21835.0
84131,49038.5,4750,1575,0,1450,5700,1030,1932,864,5100,8279,8903,0,51,2,4,-4490.5
41770,30916.5,600,810,0,1350,5172,188,1278,120,0,0,4286,1,64,1,2,-2950.5
69633,37586.5,360,1890,1086,520,3798,116,720,492,0,0,9293,1,52,1,3,13771.5
75878,77943.5,360,540,0,820,5496,340,720,642,640,5248,5866,1,38,1,9,-22737.5
141554,86007.0,12470,1125,3880,1090,3660,185,2772,624,4975,6778,11924,1,44,1,8,6064.0
44817,57613.5,0,270,0,375,4686,450,720,0,40,0,1932,1,31,1,6,-21269.5
61582,43598.5,440,90,905,810,6516,400,7602,492,250,0,11086,1,63,1,4,-10607.5
36193,22750.0,240,1440,0,230,4476,48,360,0,0,0,3616,0,63,2,2,3033.0
32730,28725.0,0,540,520,140,3648,624,2100,0,0,0,1734,0,60,2,2,-5301.0
69224,47328.0,460,0,0,730,5364,50,3360,468,3250,0,5646,1,44,1,5,2568.0
107962,118787.5,1660,1505,26,1345,11928,206,5082,324,520,0,13868,1,53,1,14,-47289.5
71908,59999.0,120,0,260,1320,5460,89,2700,312,200,0,6448,1,56,1,8,-5000.0
25114,12145.0,0,270,0,310,1986,50,438,0,0,0,432,0,51,2,1,9483.0
57343,37306.0,0,300,0,900,5550,225,522,138,720,4980,9534,1,38,1,7,-2832.0
131155,47546.5,240,470,3806,1210,9300,757,5982,0,0,39549,4994,1,72,1,4,17300.5
114777,57827.0,2510,300,1144,2235,7362,141,4800,258,3050,0,6052,1,45,1,5,29098.0
123834,57876.0,1080,900,3620,1455,6972,572,960,78,1516,26725,5297,1,28,1,7,16783.0
84712,38974.0,1300,900,4525,630,5232,12425,1080,72,0,10470,4460,1,63,1,2,4644.0
170985,45903.0,750,1950,4525,2070,6756,1946,4998,324,1650,30700,25651,1,73,1,3,43762.0
165539,37331.5,0,2430,0,2319,8280,1650,1638,1362,0,60046,13284,1,68,1,2,37198.5
127200,39379.5,0,600,0,1225,7062,6698,1728,516,0,34134,6442,1,57,1,2,29415.5
94509,27749.5,5980,3410,1810,1250,3294,21,2070,1386,0,0,4864,1,26,0,1,42674.5
127929,33488.5,240,835,2110,2310,4626,0,0,0,120,23650,2406,1,32,1,5,58143.5
66638,17881.0,240,0,3982,235,2670,402,258,0,0,22058,1546,0,65,2,1,17366.0
159654,52571.5,0,0,0,515,20550,1901,1986,0,0,38703,5094,1,38,1,3,38333.5
130129,66973.0,60,1508,560,650,5568,336,0,444,0,20907,4897,1,60,1,5,28226.0
218192,69537.5,600,2820,285,1735,8100,451,258,0,165,0,3512,1,51,1,3,130728.5
3481945,212880.5,29000,6120,0,24695,243102,17822,27240,4800,20550,66629,72890,1,53,1,5,2756216.5
137898,98916.5,240,1833,105,1315,6180,135,480,0,142,16425,5340,1,40,1,9,6786.5
313766,96885.5,1800,14760,0,9418,22836,523,12450,3780,2250,0,90496,0,38,1,5,58567.5
96356,29415.5,0,290,2448,100,5388,178,1200,0,0,28819,1078,1,70,1,3,27439.5
69196,29558.5,240,0,90,620,4368,0,576,0,444,16900,5036,0,74,2,4,11363.5
141686,68432.0,300,180,4163,3870,9678,708,0,0,270,40730,13036,1,36,1,8,319.0
121815,76308.5,14640,200,60,2850,7776,161,9078,2394,9328,12295,9913,1,51,1,7,-23188.5
69163,37956.5,0,720,5632,910,6138,312,0,1620,0,9000,5160,1,22,1,2,1714.5
113888,50204.0,3680,600,52,365,7566,533,3600,360,0,45719,4122,1,31,1,4,-2913.0
61596,41220.5,0,1510,402,330,8928,335,1392,408,100,13630,2758,1,63,1,3,-9417.5
269338,93104.0,31200,1200,130,4360,9678,257,28800,108,165,41150,17821,1,47,1,13,41365.0
657428,93842.0,28000,1200,2172,8255,29232,505,45630,7146,15700,0,60534,1,46,1,7,365212.0
147418,40484.5,0,0,0,2670,3414,41260,3996,1158,700,4995,41574,0,64,2,3,7166.5
125835,60790.0,3400,70,3620,3295,4500,660,3378,0,932,0,10928,1,33,1,6,34262.0
722152,131769.0,33000,540,0,7635,15402,271981,10746,5706,12105,0,101938,0,48,2,5,131330.0
288203,93758.5,0,820,0,31718,15882,33322,5892,3114,0,57330,17298,1,63,1,6,29068.5
105225,48038.0,1530,240,0,1440,9570,302,5904,0,160,10736,13248,1,67,1,3,14057.0
112766,61267.5,0,241,0,4885,8184,1034,702,1458,550,0,15782,1,41,1,6,18662.5
174632,82493.5,6600,0,0,5198,14226,678,14568,798,5245,0,21040,1,48,1,8,23785.5
25197,20000.5,0,0,0,1418,2022,0,0,0,0,0,1752,0,62,2,3,4.5
110037,61357.0,0,2895,0,2875,6078,74,7338,1326,960,0,11032,1,48,1,7,16102.0
61936,42996.5,0,285,0,5090,4434,1044,438,426,1500,0,12256,0,38,3,4,-6533.5
114610,45686.5,0,665,3620,2465,3708,536,1632,78,400,6080,3120,1,35,1,5,46619.5
361410,64031.5,18600,0,0,16720,34668,17480,17148,11454,160,0,50414,1,37,1,3,130734.5
129767,68722.0,0,95,6210,860,13986,270,960,2130,450,0,9218,0,46,2,5,26866.0
65648,49659.5,5100,1215,0,2370,10314,750,1410,882,150,0,6048,1,62,1,3,-12250.5
107689,61375.5,6860,0,0,445,11442,67,10350,1464,5755,24038,8506,1,50,1,4,-22613.5
94038,52219.5,0,1140,5430,3524,4770,60,486,0,1000,0,7634,1,30,1,6,17774.5
183360,36387.0,1700,360,0,1896,23628,1270,7860,2286,11050,0,42048,0,56,2,3,54875.0
140343,38616.5,0,60,0,1955,21108,3882,702,1380,0,0,2662,1,68,1,4,69977.5
71839,36464.5,0,450,1300,950,3852,48,270,912,0,0,5503,1,77,2,2,22089.5
48620,45008.0,0,60,0,1160,5166,1105,1218,288,500,0,3538,1,39,1,8,-9423.0
80272,65872.5,0,190,598,2200,6744,168,2616,1464,350,0,9060,1,58,1,4,-8990.5
530054,71834.5,1900,540,0,430,10164,758,7440,1506,6690,0,13598,1,52,1,12,415193.5
68521,37921.0,0,248,130,265,3714,130,2352,312,920,700,2732,1,54,1,3,19097.0
332157,58395.5,4810,690,0,8604,15258,2884,10440,1170,3150,0,56592,1,27,1,4,170163.5
302972,98144.0,2990,0,0,2007,14808,950,13524,6216,7060,0,22748,1,53,1,8,134525.0
106085,35302.5,390,0,3620,1610,7836,1618,1920,360,560,0,8012,1,41,1,4,44856.5
67834,53191.5,780,450,988,1570,7512,740,8946,720,1110,0,4090,1,49,1,8,-12263.5
157375,36319.5,0,0,0,1878,9678,60,2130,996,450,0,23612,1,40,1,4,82251.5
216062,56066.5,390,0,1990,2270,6198,2595,3348,1218,1815,0,9028,1,44,1,8,131143.5
164693,102112.0,4680,1235,3495,1550,9234,340,2238,690,960,0,11659,1,40,1,11,26500.0
108183,36909.5,3900,855,0,3250,16578,5232,1698,288,955,4230,7988,0,55,2,2,26299.5
130280,45501.5,560,880,0,1760,6570,134,858,606,515,0,5496,1,39,1,5,67399.5
145850,53835.5,0,0,0,2235,8058,120,960,1530,230,0,3854,1,34,1,4,75027.5
175803,42846.5,390,0,1165,255,8712,513,7038,606,560,0,11560,1,48,1,7,102157.5
89052,39737.5,390,0,0,1650,3894,291,180,852,360,0,10864,0,27,1,4,30833.5
229196,71048.0,3900,1030,1810,4020,7644,14562,13500,1116,5650,0,31442,0,44,2,6,73474.0
158084,71559.0,600,210,905,1420,16476,470,5214,0,100,0,16868,1,60,1,9,44262.0
418259,91233.0,1170,0,0,7250,13380,1186,13752,1140,8480,0,55150,1,48,1,9,225518.0
118908,57867.0,0,160,0,1650,3720,1119,4800,198,1350,19210,9402,1,49,1,6,19432.0
43961,25647.0,0,270,0,2100,2220,101,1200,0,480,0,1902,0,73,2,3,10041.0
