Date,Open,High,Low,Close,Adj Close,Volume
2016-02-09,2549.850098,2594.899902,2518.0,2579.649902,2422.186523,8163.0
2016-02-10,2569.600098,2576.0,2545.800049,2547.449951,2391.952148,48509.0
2016-02-11,2550.100098,2561.399902,2481.0,2498.449951,2345.942871,12884.0
2016-02-12,2530.0,2533.800049,2454.0,2486.5,2334.722656,31464.0
2016-02-15,2514.0,2538.350098,2491.0,2515.699951,2362.139893,16174.0
2016-02-16,2515.699951,2567.0,2504.0,2508.449951,2355.332275,19584.0
2016-02-17,2510.100098,2534.0,2440.0,2523.899902,2369.8396,19178.0
2016-02-18,2545.0,2630.0,2545.0,2620.949951,2460.965576,17954.0
2016-02-19,2615.0,2712.850098,2603.0,2704.850098,2539.744141,59661.0
2016-02-22,2690.050049,2730.100098,2673.550049,2705.949951,2540.7771,19716.0
2016-02-23,2705.0,2709.899902,2655.399902,2660.300049,2497.913574,10237.0
2016-02-24,2660.300049,2660.300049,2610.0,2623.449951,2463.312988,8743.0
2016-02-25,2621.0,2641.300049,2593.25,2623.300049,2463.172119,16503.0
2016-02-26,2640.0,2646.0,2535.100098,2557.149902,2401.060059,14797.0
2016-02-29,2570.0,2570.0,2473.850098,2499.649902,2347.069824,41198.0
2016-03-01,2508.5,2682.0,2506.0,2667.0,2504.204346,42097.0
2016-03-02,2681.0,2857.350098,2681.0,2807.75,2636.363281,94897.0
2016-03-03,2810.0,2847.050049,2810.0,2824.75,2652.325684,36582.0
2016-03-04,2817.0,2854.25,2788.949951,2835.800049,2662.700928,22300.0
2016-03-08,2838.0,2850.0,2800.0,2809.899902,2638.381836,323236.0
2016-03-09,2807.899902,2828.75,2789.0,2816.949951,2645.001465,16061.0
2016-03-10,2827.699951,2848.5,2797.75,2812.100098,2640.447998,78546.0
2016-03-11,2812.0,2839.800049,2795.0,2810.5,2638.945557,37646.0
2016-03-14,2815.100098,2833.449951,2803.149902,2817.149902,2645.189453,16106.0
2016-03-15,2815.0,2838.0,2807.0,2812.949951,2641.245605,20280.0
2016-03-16,2820.0,2835.0,2763.5,2797.949951,2627.161377,24200.0
2016-03-17,2810.0,2838.0,2807.449951,2819.5,2647.395996,13841.0
2016-03-18,2828.0,2837.850098,2795.0,2832.899902,2659.978027,14626.0
2016-03-21,2806.0,2823.949951,2778.850098,2802.75,2669.359375,54070.0
2016-03-22,2780.0,2899.0,2754.5,2866.75,2730.313232,106481.0
2016-03-23,2870.0,2914.5,2864.0,2870.350098,2733.741943,42640.0
2016-03-28,2872.199951,2878.5,2832.199951,2848.199951,2712.64624,25052.0
2016-03-29,2848.0,2878.899902,2836.300049,2851.350098,2715.646484,10801.0
2016-03-30,2858.0,2923.850098,2858.0,2922.449951,2783.362305,77796.0
2016-03-31,2920.0,2985.0,2919.100098,2943.399902,2803.31543,46354.0
2016-04-01,2939.0,2970.0,2923.0,2951.050049,2810.601074,17145.0
